"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","TR61","Mediterranean region - West","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,80.016,,
"2","Large regions (TL2)","TR61","Mediterranean region - West","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,85.98,,
"2","Large regions (TL2)","TR61","Mediterranean region - West","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,87.237,,
"2","Large regions (TL2)","TR62","Mediterranean region - Middle","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,75.15,,
"2","Large regions (TL2)","TR62","Mediterranean region - Middle","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2007","2007",,,"0","Units",,,79.23,,
"2","Large regions (TL2)","TR62","Mediterranean region - Middle","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,86.082,,
"2","Large regions (TL2)","PE15","Lima","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2000","2000",,,"0","Units",,,85.52,,
"2","Large regions (TL2)","PE19","Pasco","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2006","2006",,,"0","Units",,,88.42,,
"2","Large regions (TL2)","PE09","Huancavelica","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2000","2000",,,"0","Units",,,75.16,,
"2","Large regions (TL2)","PE01","Amazonas (PE)","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2001","2001",,,"0","Units",,,76.25,,
"2","Large regions (TL2)","PE17","Madre de dios","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,82.66,,
"2","Large regions (TL2)","PE25","Ucayali","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,78.62,,
"2","Large regions (TL2)","PE08","Cusco","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2001","2001",,,"0","Units",,,78.5,,
"2","Large regions (TL2)","PE14","Lambayeque","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2001","2001",,,"0","Units",,,85.06,,
"2","Large regions (TL2)","PE02","Áncash","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2000","2000",,,"0","Units",,,81.78,,
"2","Large regions (TL2)","PE22","San Martin","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2006","2006",,,"0","Units",,,87.51,,
"2","Large regions (TL2)","PE01","Amazonas (PE)","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,75.87,,
